code,name,description,is_system,capabilities
owner,Owner,Full Org Access,TRUE,"leads.view,leads.manage,leads.convert,quotes.view,quotes.manage,quotes.approve,clients.view,clients.manage,pricing.view,pricing.manage,pricing.preview,scheduling.view,scheduling.manage,routing.view,routing.manage,quality.view,quality.manage,audit.view,reporting.view,reporting.export,roles.manage,members.manage,imports.manage"
regional_manager,Regional Manager,Full Access (Region Scoped),TRUE,"leads.view,leads.manage,leads.convert,quotes.view,quotes.manage,quotes.approve,clients.view,clients.manage,pricing.view,pricing.manage,pricing.preview,scheduling.view,scheduling.manage,routing.view,routing.manage,quality.view,quality.manage,audit.view,reporting.view,reporting.export,roles.manage,members.manage,imports.manage"
market_manager,Market Manager,Full Access (Market Scoped),TRUE,"leads.view,leads.manage,leads.convert,quotes.view,quotes.manage,quotes.approve,clients.view,clients.manage,pricing.view,pricing.manage,pricing.preview,scheduling.view,scheduling.manage,routing.view,routing.manage,quality.view,quality.manage,audit.view,reporting.view,reporting.export,roles.manage,members.manage,imports.manage"
location_manager,Location Manager,Full Access (Location Scoped),TRUE,"leads.view,leads.manage,leads.convert,quotes.view,quotes.manage,quotes.approve,clients.view,clients.manage,pricing.view,pricing.manage,pricing.preview,scheduling.view,scheduling.manage,routing.view,routing.manage,quality.view,quality.manage,audit.view,reporting.view,reporting.export,roles.manage,members.manage,imports.manage"
staff,Office Staff,Office Operations,TRUE,"leads.view,leads.manage,leads.convert,leads.assign,quotes.view,quotes.manage,quotes.send,clients.view,clients.manage,pricing.view,pricing.preview,tasks.view,tasks.manage,tasks.assign,communications.view,communications.send,scheduling.view,reporting.view"
field_tech,Field Technician,Field Work,TRUE,"scheduling.view,quality.view,quality.complete,tasks.view,tasks.complete,communications.view"
